Issue,Repo Name
https://github.com/antoinepirlot/Satunes/issues/129,antoinepirlot/Satunes
https://github.com/antoinepirlot/Satunes/issues/82,antoinepirlot/Satunes
https://github.com/antoinepirlot/Satunes/issues/71,antoinepirlot/Satunes
https://github.com/RetroMusicPlayer/RetroMusicPlayer/issues/1502,RetroMusicPlayer/RetroMusicPlayer
https://github.com/PaulWoitaschek/Voice/issues/645,PaulWoitaschek/Voice
https://github.com/PaulWoitaschek/Voice/issues/659,PaulWoitaschek/Voice
https://github.com/PaulWoitaschek/Voice/issues/709,PaulWoitaschek/Voice
https://github.com/PaulWoitaschek/Voice/issues/741,PaulWoitaschek/Voice
https://github.com/PaulWoitaschek/Voice/issues/891,PaulWoitaschek/Voice
https://github.com/PaulWoitaschek/Voice/issues/896,PaulWoitaschek/Voice
https://github.com/PaulWoitaschek/Voice/issues/1023,PaulWoitaschek/Voice
https://github.com/PaulWoitaschek/Voice/issues/1765,PaulWoitaschek/Voice
https://github.com/PaulWoitaschek/Voice/issues/1827,PaulWoitaschek/Voice
https://github.com/PaulWoitaschek/Voice/issues/1865,PaulWoitaschek/Voice
https://github.com/z-huang/InnerTune/issues/888,z-huang/InnerTune
https://github.com/z-huang/InnerTune/issues/697,z-huang/InnerTune
https://github.com/z-huang/InnerTune/issues/485,z-huang/InnerTune
https://github.com/fast4x/RiMusic/issues/322,fast4x/RiMusic
https://github.com/fast4x/RiMusic/issues/628,fast4x/RiMusic
https://github.com/fast4x/RiMusic/issues/839,fast4x/RiMusic
https://github.com/fast4x/RiMusic/issues/1113,fast4x/RiMusic
https://github.com/fast4x/RiMusic/issues/1680,fast4x/RiMusic
https://github.com/fast4x/RiMusic/issues/2166,fast4x/RiMusic
https://github.com/fast4x/RiMusic/issues/2183,fast4x/RiMusic
https://github.com/jellyfin/jellyfin-android/issues/302,jellyfin/jellyfin-android
https://github.com/jellyfin/jellyfin-android/issues/1206,jellyfin/jellyfin-android
https://github.com/jellyfin/jellyfin-android/issues/247,jellyfin/jellyfin-android
https://github.com/jellyfin/jellyfin-android/issues/223,jellyfin/jellyfin-android
https://github.com/maxrave-dev/SimpMusic/issues/266,maxrave-dev/SimpMusic
https://gitlab.com/ultrasonic/ultrasonic/issues/883,ultrasonic/ultrasonic
https://gitlab.com/ultrasonic/ultrasonic/issues/1174,ultrasonic/ultrasonic
